source,target,extension,status,paragraphs,tables,sheets
D:\work\2026\4\5 组织生活会\1 交付\2025年度组织生活会及民主评议党员会议纪要-交付中心V1.docx,E:\sl_obsidian\converted_markdown\组织生活会\1 交付\2025年度组织生活会及民主评议党员会议纪要-交付中心V1.md,.docx,converted,112,0,
D:\work\2026\4\5 组织生活会\1 交付\2025年度组织生活会发言提纲-模板-连艳利V5.docx,E:\sl_obsidian\converted_markdown\组织生活会\1 交付\2025年度组织生活会发言提纲-模板-连艳利V5.md,.docx,converted,72,0,
D:\work\2026\4\5 组织生活会\1 交付\2025年度组织生活会发言提纲-闫林林.docx,E:\sl_obsidian\converted_markdown\组织生活会\1 交付\2025年度组织生活会发言提纲-闫林林.md,.docx,converted,35,0,
D:\work\2026\4\5 组织生活会\1 交付\2025年度组织生活会发言材料-李祯.docx,E:\sl_obsidian\converted_markdown\组织生活会\1 交付\2025年度组织生活会发言材料-李祯.md,.docx,converted,39,0,
D:\work\2026\4\5 组织生活会\1 交付\交付中心党支部2025年度组织生活会整改清单.xlsx,E:\sl_obsidian\converted_markdown\组织生活会\1 交付\交付中心党支部2025年度组织生活会整改清单.md,.xlsx,converted,,,3
D:\work\2026\4\5 组织生活会\1 交付\附件3：民主评议结果报告.xlsx,E:\sl_obsidian\converted_markdown\组织生活会\1 交付\附件3：民主评议结果报告.md,.xlsx,converted,,,1
D:\work\2026\4\5 组织生活会\1 交付\附件：学习教育查摆问题整改整治台账（模板)+-各市分公司 (2).xlsx,E:\sl_obsidian\converted_markdown\组织生活会\1 交付\附件：学习教育查摆问题整改整治台账（模板)+-各市分公司 (2).md,.xlsx,converted,,,1
D:\work\2026\4\5 组织生活会\10 创新\个人发言材料-张红.docx,E:\sl_obsidian\converted_markdown\组织生活会\10 创新\个人发言材料-张红.md,.docx,converted,48,0,
D:\work\2026\4\5 组织生活会\10 创新\个人发言材料-马诗琪.docx,E:\sl_obsidian\converted_markdown\组织生活会\10 创新\个人发言材料-马诗琪.md,.docx,converted,96,0,
D:\work\2026\4\5 组织生活会\10 创新\创新业务支撑中心党支部2025年度组织生活会整改清单.xlsx,E:\sl_obsidian\converted_markdown\组织生活会\10 创新\创新业务支撑中心党支部2025年度组织生活会整改清单.md,.xlsx,converted,,,3
D:\work\2026\4\5 组织生活会\10 创新\创新业务支撑中心支部委员会对照检查材料.docx,E:\sl_obsidian\converted_markdown\组织生活会\10 创新\创新业务支撑中心支部委员会对照检查材料.md,.docx,converted,110,0,
D:\work\2026\4\5 组织生活会\11 办公室\2-0+2025办公室支部组织生活会＿问题整改清单1.xlsx,E:\sl_obsidian\converted_markdown\组织生活会\11 办公室\2-0+2025办公室支部组织生活会＿问题整改清单1.md,.xlsx,converted,,,3
D:\work\2026\4\5 组织生活会\11 办公室\2-1+28名党员批评与自我批评具体内容.docx,E:\sl_obsidian\converted_markdown\组织生活会\11 办公室\2-1+28名党员批评与自我批评具体内容.md,.docx,converted,17,0,
D:\work\2026\4\5 组织生活会\11 办公室\2-128名党员批评与自我批评具体内容.docx,E:\sl_obsidian\converted_markdown\组织生活会\11 办公室\2-128名党员批评与自我批评具体内容.md,.docx,converted,17,0,
D:\work\2026\4\5 组织生活会\11 办公室\3-12025年度组织生活会个人发言成春红.docx,E:\sl_obsidian\converted_markdown\组织生活会\11 办公室\3-12025年度组织生活会个人发言成春红.md,.docx,converted,62,0,
D:\work\2026\4\5 组织生活会\11 办公室\3-2个人发言材料＿办公室李芳.docx,E:\sl_obsidian\converted_markdown\组织生活会\11 办公室\3-2个人发言材料＿办公室李芳.md,.docx,converted,39,0,
D:\work\2026\4\5 组织生活会\11 办公室\3-3张静-2025年度组织生活会材料.docx,E:\sl_obsidian\converted_markdown\组织生活会\11 办公室\3-3张静-2025年度组织生活会材料.md,.docx,converted,33,0,
D:\work\2026\4\5 组织生活会\11 办公室\3-42025年度组织生活会个人发言-办公室杨培 (1).docx,E:\sl_obsidian\converted_markdown\组织生活会\11 办公室\3-42025年度组织生活会个人发言-办公室杨培 (1).md,.docx,converted,55,0,
D:\work\2026\4\5 组织生活会\11 办公室\3-42025年度组织生活会个人发言-办公室杨培.docx,E:\sl_obsidian\converted_markdown\组织生活会\11 办公室\3-42025年度组织生活会个人发言-办公室杨培.md,.docx,converted,55,0,
D:\work\2026\4\5 组织生活会\11 办公室\3-52025年度组织生活会个人发言-办公室郭曙光.docx,E:\sl_obsidian\converted_markdown\组织生活会\11 办公室\3-52025年度组织生活会个人发言-办公室郭曙光.md,.docx,converted,38,0,
D:\work\2026\4\5 组织生活会\11 办公室\3办公室支部2025年度基层党组织组织生活会支部委员会对照检查材料.docx,E:\sl_obsidian\converted_markdown\组织生活会\11 办公室\3办公室支部2025年度基层党组织组织生活会支部委员会对照检查材料.md,.docx,converted,58,0,
D:\work\2026\4\5 组织生活会\12 沁阳\2025年度党建工作报告.docx,E:\sl_obsidian\converted_markdown\组织生活会\12 沁阳\2025年度党建工作报告.md,.docx,converted,15,0,
D:\work\2026\4\5 组织生活会\12 沁阳\2025年度基层党组织组织生活会支部委员会对照检查材料--沁阳市分公司党支部.docx,E:\sl_obsidian\converted_markdown\组织生活会\12 沁阳\2025年度基层党组织组织生活会支部委员会对照检查材料--沁阳市分公司党支部.md,.docx,converted,60,0,
D:\work\2026\4\5 组织生活会\12 沁阳\2025年度组织生活会个人发言材料-（支部书记魏进军）.docx,E:\sl_obsidian\converted_markdown\组织生活会\12 沁阳\2025年度组织生活会个人发言材料-（支部书记魏进军）.md,.docx,converted,45,0,
D:\work\2026\4\5 组织生活会\12 沁阳\2025年度组织生活会个人发言材料-（组织委员、纪检委员刘建建）.docx,E:\sl_obsidian\converted_markdown\组织生活会\12 沁阳\2025年度组织生活会个人发言材料-（组织委员、纪检委员刘建建）.md,.docx,converted,42,0,
D:\work\2026\4\5 组织生活会\12 沁阳\2025年度组织生活会发言材料-（宣传委员王亮）.docx,E:\sl_obsidian\converted_markdown\组织生活会\12 沁阳\2025年度组织生活会发言材料-（宣传委员王亮）.md,.docx,converted,46,0,
D:\work\2026\4\5 组织生活会\12 沁阳\关于召开基层党组织2025年度组织生活会和开展民主评议党员的通知.docx,E:\sl_obsidian\converted_markdown\组织生活会\12 沁阳\关于召开基层党组织2025年度组织生活会和开展民主评议党员的通知.md,.docx,converted,41,0,
D:\work\2026\4\5 组织生活会\12 沁阳\沁阳党支部2025年度组织生活会征求意见清单及整改措施.xlsx,E:\sl_obsidian\converted_markdown\组织生活会\12 沁阳\沁阳党支部2025年度组织生活会征求意见清单及整改措施.md,.xlsx,converted,,,2
D:\work\2026\4\5 组织生活会\12 沁阳\附件1：基层党支部民主评议表.xlsx,E:\sl_obsidian\converted_markdown\组织生活会\12 沁阳\附件1：基层党支部民主评议表.md,.xlsx,converted,,,1
D:\work\2026\4\5 组织生活会\12 沁阳\附件2：党员民主测评表.xlsx,E:\sl_obsidian\converted_markdown\组织生活会\12 沁阳\附件2：党员民主测评表.md,.xlsx,converted,,,1
D:\work\2026\4\5 组织生活会\12 沁阳\附件3：民主评议结果报告.xlsx,E:\sl_obsidian\converted_markdown\组织生活会\12 沁阳\附件3：民主评议结果报告.md,.xlsx,converted,,,1
D:\work\2026\4\5 组织生活会\12 沁阳\附件4：党支部发言材料参考模板.docx,E:\sl_obsidian\converted_markdown\组织生活会\12 沁阳\附件4：党支部发言材料参考模板.md,.docx,converted,35,0,
D:\work\2026\4\5 组织生活会\13 财务\2025年组织生活会问题清单整改措施-财务部.xlsx,E:\sl_obsidian\converted_markdown\组织生活会\13 财务\2025年组织生活会问题清单整改措施-财务部.md,.xlsx,converted,,,1
D:\work\2026\4\5 组织生活会\14 党建\2025年度党员领导干部组织生活会个人发言材料-王统.docx,E:\sl_obsidian\converted_markdown\组织生活会\14 党建\2025年度党员领导干部组织生活会个人发言材料-王统.md,.docx,converted,47,0,
D:\work\2026\4\5 组织生活会\14 党建\2025年组织生活会问题清单整改措施-党建工作部.xlsx,E:\sl_obsidian\converted_markdown\组织生活会\14 党建\2025年组织生活会问题清单整改措施-党建工作部.md,.xlsx,converted,,,1
D:\work\2026\4\5 组织生活会\15 客服\2-2025年度组织生活会个人发言材料-客服部崔静0401.docx,E:\sl_obsidian\converted_markdown\组织生活会\15 客服\2-2025年度组织生活会个人发言材料-客服部崔静0401.md,.docx,converted,52,0,
D:\work\2026\4\5 组织生活会\15 客服\2025年度基层党组织组织生活会客户服务部支部委员会对照检查材料20260312.docx,E:\sl_obsidian\converted_markdown\组织生活会\15 客服\2025年度基层党组织组织生活会客户服务部支部委员会对照检查材料20260312.md,.docx,converted,49,0,
D:\work\2026\4\5 组织生活会\16 中站\2024年度基层党组织组织生活会发言材料（杨振玲）.docx,E:\sl_obsidian\converted_markdown\组织生活会\16 中站\2024年度基层党组织组织生活会发言材料（杨振玲）.md,.docx,converted,91,0,
D:\work\2026\4\5 组织生活会\16 中站\2025年度王海霞组织生活会发言.docx,E:\sl_obsidian\converted_markdown\组织生活会\16 中站\2025年度王海霞组织生活会发言.md,.docx,converted,53,0,
D:\work\2026\4\5 组织生活会\16 中站\中站党支部2025年度组织生活会查摆问题清单及整改措施 (1).xlsx,E:\sl_obsidian\converted_markdown\组织生活会\16 中站\中站党支部2025年度组织生活会查摆问题清单及整改措施 (1).md,.xlsx,converted,,,2
D:\work\2026\4\5 组织生活会\16 中站\中站党支部2025年度组织生活会查摆问题清单及整改措施.xlsx,E:\sl_obsidian\converted_markdown\组织生活会\16 中站\中站党支部2025年度组织生活会查摆问题清单及整改措施.md,.xlsx,converted,,,2
D:\work\2026\4\5 组织生活会\17 孟州\2025年度基层党组织组织生活会支部委员会对照检查材料1.docx,E:\sl_obsidian\converted_markdown\组织生活会\17 孟州\2025年度基层党组织组织生活会支部委员会对照检查材料1.md,.docx,converted,74,0,
D:\work\2026\4\5 组织生活会\17 孟州\2025年度组织生活会个人发言（荣帅3.12.docx,E:\sl_obsidian\converted_markdown\组织生活会\17 孟州\2025年度组织生活会个人发言（荣帅3.12.md,.docx,converted,67,0,
D:\work\2026\4\5 组织生活会\17 孟州\2025年度组织生活会发言提纲.李红星.docx,E:\sl_obsidian\converted_markdown\组织生活会\17 孟州\2025年度组织生活会发言提纲.李红星.md,.docx,converted,43,0,
D:\work\2026\4\5 组织生活会\17 孟州\孟州联通党支部2025年度组织生活会征求意见整改措施+1.xlsx,E:\sl_obsidian\converted_markdown\组织生活会\17 孟州\孟州联通党支部2025年度组织生活会征求意见整改措施+1.md,.xlsx,converted,,,3
D:\work\2026\4\5 组织生活会\17 孟州\组织生活会发言材料（郭玉倩）3.11.docx,E:\sl_obsidian\converted_markdown\组织生活会\17 孟州\组织生活会发言材料（郭玉倩）3.11.md,.docx,converted,65,0,
D:\work\2026\4\5 组织生活会\18 网络部\2025年度组织生活会发言提纲-薛培延V2.docx,E:\sl_obsidian\converted_markdown\组织生活会\18 网络部\2025年度组织生活会发言提纲-薛培延V2.md,.docx,converted,73,0,
D:\work\2026\4\5 组织生活会\18 网络部\2025年组织生活会个人发言材料-王明昕V3.docx,E:\sl_obsidian\converted_markdown\组织生活会\18 网络部\2025年组织生活会个人发言材料-王明昕V3.md,.docx,converted,67,0,
D:\work\2026\4\5 组织生活会\18 网络部\网络部党支部发言材料V4.docx,E:\sl_obsidian\converted_markdown\组织生活会\18 网络部\网络部党支部发言材料V4.md,.docx,converted,100,0,
D:\work\2026\4\5 组织生活会\18 网络部\附件5：个人发言材料-任娟v1.docx,E:\sl_obsidian\converted_markdown\组织生活会\18 网络部\附件5：个人发言材料-任娟v1.md,.docx,converted,40,0,
D:\work\2026\4\5 组织生活会\19 综服\2025年度组织生活会个人对照检查发言材料--综服中心任芳芳.docx,E:\sl_obsidian\converted_markdown\组织生活会\19 综服\2025年度组织生活会个人对照检查发言材料--综服中心任芳芳.md,.docx,converted,48,0,
D:\work\2026\4\5 组织生活会\19 综服\2025年度组织生活会个人对照检查发言材料--综服中心刘迎军.docx,E:\sl_obsidian\converted_markdown\组织生活会\19 综服\2025年度组织生活会个人对照检查发言材料--综服中心刘迎军.md,.docx,converted,56,0,
D:\work\2026\4\5 组织生活会\19 综服\2025年度组织生活会个人对照检查发言材料--综服中心王波.docx,E:\sl_obsidian\converted_markdown\组织生活会\19 综服\2025年度组织生活会个人对照检查发言材料--综服中心王波.md,.docx,converted,62,0,
D:\work\2026\4\5 组织生活会\19 综服\2025年度综合服务支撑中心支部委员会对照检查材料.docx,E:\sl_obsidian\converted_markdown\组织生活会\19 综服\2025年度综合服务支撑中心支部委员会对照检查材料.md,.docx,converted,68,0,
D:\work\2026\4\5 组织生活会\19 综服\综合服务支撑党支部2025年度组织生活会查摆问题清单及整改措施.xlsx,E:\sl_obsidian\converted_markdown\组织生活会\19 综服\综合服务支撑党支部2025年度组织生活会查摆问题清单及整改措施.md,.xlsx,converted,,,2
D:\work\2026\4\5 组织生活会\2 纪检\2025年度基层党组织组织生活会-派驻纪检审计党支部材料.docx,E:\sl_obsidian\converted_markdown\组织生活会\2 纪检\2025年度基层党组织组织生活会-派驻纪检审计党支部材料.md,.docx,converted,53,0,
D:\work\2026\4\5 组织生活会\2 纪检\2025年度组织生活会发言提纲个人-张高兴.docx,E:\sl_obsidian\converted_markdown\组织生活会\2 纪检\2025年度组织生活会发言提纲个人-张高兴.md,.docx,converted,60,0,
D:\work\2026\4\5 组织生活会\2 纪检\2025年组织生活会个人发言材料-何雪峰.docx,E:\sl_obsidian\converted_markdown\组织生活会\2 纪检\2025年组织生活会个人发言材料-何雪峰.md,.docx,converted,47,0,
D:\work\2026\4\5 组织生活会\2 纪检\派驻纪检组审计组党支部2025年度组织生活会查摆问题整改清单.xlsx,E:\sl_obsidian\converted_markdown\组织生活会\2 纪检\派驻纪检组审计组党支部2025年度组织生活会查摆问题整改清单.md,.xlsx,converted,,,2
D:\work\2026\4\5 组织生活会\20 稽核\2025年度基层党组织组织生活会个人发言材料（数字化与稽核中心-冯志强）.docx,E:\sl_obsidian\converted_markdown\组织生活会\20 稽核\2025年度基层党组织组织生活会个人发言材料（数字化与稽核中心-冯志强）.md,.docx,converted,54,0,
D:\work\2026\4\5 组织生活会\20 稽核\2025年度基层党组织组织生活会个人发言材料（数字化与稽核中心-赵中利）.docx,E:\sl_obsidian\converted_markdown\组织生活会\20 稽核\2025年度基层党组织组织生活会个人发言材料（数字化与稽核中心-赵中利）.md,.docx,converted,39,0,
D:\work\2026\4\5 组织生活会\20 稽核\2025年度基层党组织组织生活会个人发言材料（数字化与稽核中心-闫炳花）.docx,E:\sl_obsidian\converted_markdown\组织生活会\20 稽核\2025年度基层党组织组织生活会个人发言材料（数字化与稽核中心-闫炳花）.md,.docx,converted,45,0,
D:\work\2026\4\5 组织生活会\20 稽核\2025年度基层党组织组织生活会支部委员会对照检查材料（数字化与稽核中心）.docx,E:\sl_obsidian\converted_markdown\组织生活会\20 稽核\2025年度基层党组织组织生活会支部委员会对照检查材料（数字化与稽核中心）.md,.docx,converted,69,0,
D:\work\2026\4\5 组织生活会\20 稽核\数字化与稽核中心党支部组织生活会问题整改清单.xlsx,E:\sl_obsidian\converted_markdown\组织生活会\20 稽核\数字化与稽核中心党支部组织生活会问题整改清单.md,.xlsx,converted,,,3
D:\work\2026\4\5 组织生活会\21 企业\2025年宣传委员个人对照检查材料（企业中心党支部）.docx,E:\sl_obsidian\converted_markdown\组织生活会\21 企业\2025年宣传委员个人对照检查材料（企业中心党支部）.md,.docx,converted,45,0,
D:\work\2026\4\5 组织生活会\21 企业\2025年度基层党组织组织生活会对照检查材料1.docx,E:\sl_obsidian\converted_markdown\组织生活会\21 企业\2025年度基层党组织组织生活会对照检查材料1.md,.docx,converted,60,0,
D:\work\2026\4\5 组织生活会\21 企业\2025年纪检委员个人对照检查材料企业中心党支部）.docx,E:\sl_obsidian\converted_markdown\组织生活会\21 企业\2025年纪检委员个人对照检查材料企业中心党支部）.md,.docx,converted,43,0,
D:\work\2026\4\5 组织生活会\21 企业\企业客户营销中心党支部书记个人对照检查材料0228.docx,E:\sl_obsidian\converted_markdown\组织生活会\21 企业\企业客户营销中心党支部书记个人对照检查材料0228.md,.docx,converted,43,0,
D:\work\2026\4\5 组织生活会\21 企业\学习教育查摆问题清单（左玥）3.31.xlsx,E:\sl_obsidian\converted_markdown\组织生活会\21 企业\学习教育查摆问题清单（左玥）3.31.md,.xlsx,converted,,,1
D:\work\2026\4\5 组织生活会\21 企业\学习教育查摆问题清单（贾等等）3.31.xlsx,E:\sl_obsidian\converted_markdown\组织生活会\21 企业\学习教育查摆问题清单（贾等等）3.31.md,.xlsx,converted,,,1
D:\work\2026\4\5 组织生活会\21 企业\组织生活会整改清单企业中心党支部）上报版.xlsx,E:\sl_obsidian\converted_markdown\组织生活会\21 企业\组织生活会整改清单企业中心党支部）上报版.md,.xlsx,converted,,,1
