source,extension,status
D:\work\2026\4\5 组织生活会\1 交付\0-《关于召开基层党组织2025年度组织生活会和开展民主评议党员的通知》.rar,.rar,unsupported
D:\work\2026\4\5 组织生活会\10 创新\2025年度民主评议党员结果报告记录.JPG,.jpg,unsupported
D:\work\2026\4\5 组织生活会\11 办公室\1.焦联通党委〔2026〕10号关于召开基层党组织2025年度组织生活会和开展民主评议党员的通知.doc,.doc,unsupported
D:\work\2026\4\5 组织生活会\11 办公室\民主评议结果报告办公室党支部）.JPG,.jpg,unsupported
D:\work\2026\4\5 组织生活会\13 财务\财务部--民主评议结果.jpg,.jpg,unsupported
D:\work\2026\4\5 组织生活会\13 财务\附件附件4：财务部党支部发言材料.doc,.doc,unsupported
D:\work\2026\4\5 组织生活会\13 财务\附件附件5：个人发言材料参考模板-宣传委员袁华.doc,.doc,unsupported
D:\work\2026\4\5 组织生活会\13 财务\附件附件5：个人发言材料参考模板-支部书记张琼.doc,.doc,unsupported
D:\work\2026\4\5 组织生活会\13 财务\附件附件5：个人发言材料参考模板-纪检委员封文静.doc,.doc,unsupported
D:\work\2026\4\5 组织生活会\13 财务\附件附件5：个人发言材料参考模板-组织委员薛娟娟.doc,.doc,unsupported
D:\work\2026\4\5 组织生活会\13 财务\附件附件5：个人发言材料参考模板-群众委员何卫国.doc,.doc,unsupported
D:\work\2026\4\5 组织生活会\14 党建\个人发言材料李兵.doc,.doc,unsupported
D:\work\2026\4\5 组织生活会\14 党建\个人发言材料祝文娟.doc,.doc,unsupported
D:\work\2026\4\5 组织生活会\14 党建\党建工作部党支部发言材料.doc,.doc,unsupported
D:\work\2026\4\5 组织生活会\14 党建\民主评议结果.jpg,.jpg,unsupported
D:\work\2026\4\5 组织生活会\15 客服\2025年度组织生活会个人发言材料-客服部车空军03121.wps,.wps,unsupported
D:\work\2026\4\5 组织生活会\15 客服\民主评议.jpg,.jpg,unsupported
D:\work\2026\4\5 组织生活会\16 中站\2025年度基层党组织组织生活会中站区党支部对照检查材料.doc,.doc,unsupported
D:\work\2026\4\5 组织生活会\16 中站\2025年度基层党组织组织生活会发言提纲支部书记）.doc,.doc,unsupported
D:\work\2026\4\5 组织生活会\17 孟州\2025年度组织生活会个人发言材料-王栋.doc,.doc,unsupported
D:\work\2026\4\5 组织生活会\17 孟州\3月组织生活会发言材料（崔小杰）.doc,.doc,unsupported
D:\work\2026\4\5 组织生活会\17 孟州\民主评议结果报告.jpg,.jpg,unsupported
D:\work\2026\4\5 组织生活会\18 网络部\附件附件3：民主评议结果报告.jpg,.jpg,unsupported
D:\work\2026\4\5 组织生活会\19 综服\民主测评2025.jpg,.jpg,unsupported
D:\work\2026\4\5 组织生活会\2 纪检\2025年度组织生活会发言提纲个人-刘志纲.doc,.doc,unsupported
D:\work\2026\4\5 组织生活会\2 纪检\民主评议结果报告.jpg,.jpg,unsupported
D:\work\2026\4\5 组织生活会\20 稽核\民主评议.jpg,.jpg,unsupported
D:\work\2026\4\5 组织生活会\22 校园\民主评议结果.jpg,.jpg,unsupported
D:\work\2026\4\5 组织生活会\23 政要\2025年民主评议结果.pg,.pg,unsupported
D:\work\2026\4\5 组织生活会\23 政要\民主评议结果报告.jpg,.jpg,unsupported
D:\work\2026\4\5 组织生活会\24 网运\2025年度基层党组织组织生活会个人发言-刘霞.doc,.doc,unsupported
D:\work\2026\4\5 组织生活会\24 网运\2025年度基层党组织组织生活会支部委员会对照检查材料-网络运营中心党支部.doc,.doc,unsupported
D:\work\2026\4\5 组织生活会\24 网运\2025年度组织生活会发言材料-支部书记-申鑫.doc,.doc,unsupported
D:\work\2026\4\5 组织生活会\24 网运\2025年民主评议结果 (1).jpg,.jpg,unsupported
D:\work\2026\4\5 组织生活会\25 修武\修武分公司党支部民主评议结果报告.jpg,.jpg,unsupported
D:\work\2026\4\5 组织生活会\26 博爱\2025年组织生活会个人发言材料-博爱王艳平.doc,.doc,unsupported
D:\work\2026\4\5 组织生活会\26 博爱\2025年组织生活会个人发言材料-王莉.doc,.doc,unsupported
D:\work\2026\4\5 组织生活会\26 博爱\2025年组织生活会个人发言材料-魏斌.doc,.doc,unsupported
D:\work\2026\4\5 组织生活会\26 博爱\2025年组织生活会材料-冯超0312.doc,.doc,unsupported
D:\work\2026\4\5 组织生活会\26 博爱\民主评议结果报告.jpg,.jpg,unsupported
D:\work\2026\4\5 组织生活会\27 武陟\武陟分公司党支部发言材料20260311（定）.doc,.doc,unsupported
D:\work\2026\4\5 组织生活会\28 政企\附加4：政企部党支部发言材料0302（请以此稿为准）.doc,.doc,unsupported
D:\work\2026\4\5 组织生活会\3 温县\2025年度组织生活会和民主评议文件.rar,.rar,unsupported
D:\work\2026\4\5 组织生活会\3 温县\民主评议报告.jpg,.jpg,unsupported
D:\work\2026\4\5 组织生活会\4 马村\2025年组织生活会问题清单.xls,.xls,unsupported
D:\work\2026\4\5 组织生活会\4 马村\民主评议结果报告 (1).JPG,.jpg,unsupported
D:\work\2026\4\5 组织生活会\5 山阳\关于召开基层党组织2025年度组织生活会和民主评议党员的通知.doc,.doc,unsupported
D:\work\2026\4\5 组织生活会\5 山阳\附件4：党支部发言材料-山阳 (1).doc,.doc,unsupported
D:\work\2026\4\5 组织生活会\6 市场部\2025年度基层党组织组织生活会市场部支部委员会对照检查材料.doc,.doc,unsupported
D:\work\2026\4\5 组织生活会\6 市场部\党委发文套红头.doc,.doc,unsupported
D:\work\2026\4\5 组织生活会\6 市场部\组织生活会群众意见表.xls,.xls,unsupported
D:\work\2026\4\5 组织生活会\7 解放\民主评议.jpg,.jpg,unsupported
D:\work\2026\4\5 组织生活会\7 解放\（解放）2025组织生活会对照检查材料31.wps,.wps,unsupported
D:\work\2026\4\5 组织生活会\7 解放\（鲁予波）2025年度基层党组织组织生活会个人发言.wps,.wps,unsupported
D:\work\2026\4\5 组织生活会\8 人力\2025年度组织生活会民主评议结果报告.jpg,.jpg,unsupported
D:\work\2026\4\5 组织生活会\8 人力\党委发文套红头关于召开基层党组织2025年度组织生活会和.doc,.doc,unsupported
D:\work\2026\4\5 组织生活会\8 人力\附件附件4：2025年度基层党组织组织生活会支部对照检查材料.doc,.doc,unsupported
D:\work\2026\4\5 组织生活会\9 机动通信管理局\机动通信局党支部发言材料.doc,.doc,unsupported
D:\work\2026\4\5 组织生活会\9 机动通信管理局\民主评议.jpg,.jpg,unsupported
